file,doc_class,pages,sheet_mm,text_layer,bytes
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev6 SOUTH STAND STHELENS REDEVELOPMENT-SUB DB-  Saba Consult- No Stockist- Stockist.PDF,quote,4,210x297,yes,56294
Estimating_20260128_144453 (006).pdf,scan/unknown,5,210x297,no,992394
Estimating_20260415_122946.pdf,scan/unknown,1,210x297,no,80779
LV schematic.pdf,scan/unknown,1,210x297,no,388273
LV schematic2.pdf,scan/unknown,1,210x297,no,325596
LV schematic3.pdf,scan/unknown,1,210x297,no,284425
LV schematic4.pdf,scan/unknown,1,210x297,no,176323
SKM_C551i26061514050.pdf,scan/unknown,1,210x297,no,51390
doc08967220251013144029.pdf,scan/unknown,6,297x210,no,2318597
114026-NPS-Z1-00-DR-E-6001_A3 Indicative LV DistributionSchematic C1.pdf,schematic,1,841x594,yes,305745
2429-SGL-V1-XX-DR-E-1001-(P1) - Proposed LV Schematics Sheet1 of 2.pdf,schematic,1,841x594,yes,199637
6912-CBC-XX-ZZ-DR-E-661002.pdf,schematic,1,594x841,yes,192366
6912-CBC-XX-ZZ-DR-E-661003.pdf,schematic,1,594x841,yes,199132
BC250847 E13 - Distribution.pdf,schematic,1,841x594,yes,628835
DBG 2023.09.11.pdf,schematic,2,210x297,yes,398577
DBK 2023.09.11.pdf,schematic,2,210x297,yes,399932
DUN-RYB-XX-XX-DR-E-60001 LV Schematic.pdf,schematic,1,594x841,yes,277752
E02 Dist Schem Rev P02.pdf,schematic,1,594x841,yes,687080
Example of what i do with the electrical documents  during Quoting process/Project ASHFIELD SCHOOL/Quote produced/205996754- ASHFIELD SCHOOL - TS- BAM Construction Ltd- No Stockist- Contractor.PDF,schematic,17,210x297,yes,216193
Example of what i do with the electrical documents  during Quoting process/Project ASHFIELD SCHOOL/info/SRP1053-BMD-ZZ-ZZ-T-E-6852-Schedule No 4 Composite Distribution Boards.pdf,schematic,4,216x279,yes,100345
Example of what i do with the electrical documents  during Quoting process/Project ASHFIELD SCHOOL/info/SRP1053-BMD-ZZ-ZZ-T-E-6855-Schedule no 7 - metering and BMS connection points schedule.pdf,schematic,5,210x297,yes,257637
Example of what i do with the electrical documents  during Quoting process/Project South Stand/info/original/E02 Dist Schem Rev P02.pdf,schematic,1,594x841,yes,694279
Example of what i do with the electrical documents  during Quoting process/Project South Stand/info/rev4/E02 Dist Schem Rev P02.pdf,schematic,1,594x841,yes,687080
KFH-QRL-BA-XX-SCH-E-5305.pdf,schematic,1,1189x841,yes,288836
P17856 E-(60)101 C WIP (002).pdf,schematic,1,841x1189,yes,189491
SRP1053-BMD-01-ZZ-D-E-4801-LV Schematic Block NB1 and NB2 (With Cable Sizes).pdf,schematic,1,841x1189,yes,555997
SRP1053-BMD-03-ZZ-D-E-4802-LV Schematic  NB03 (With Cable Sizes).pdf,schematic,1,841x1189,yes,514187
SRP1053-BMD-ZZ-ZZ-T-E-6852-Schedule No 4 Composite Distribution Boards.pdf,schematic,4,216x279,yes,100345
SRP1053-BMD-ZZ-ZZ-T-E-6855-Schedule no 7 - metering and BMS connection points schedule.pdf,schematic,5,210x297,yes,257637
rev2  panel.pdf,schematic,1,841x1189,yes,1441753
Protective Device Settings (P02).pdf,settings,121,210x297,yes,1597776
114026-NPS-XX-XX-T-E-0001-A3-C01_ElectricalSpecification.pdf,spec,52,210x297,yes,590239
114026-NPS-Z1-00-DR-E-6000_A3 Typical Consumer Unit LayoutsC1.pdf,spec,1,841x594,yes,245272
Example of what i do with the electrical documents  during Quoting process/Project South Stand/info/original/2425-009 SP-E01 Rev 0 St Helens.pdf,spec,49,210x297,yes,632615
W702-OCO03-XX-XX-SPC-E-675-010_Electrical Services#U2019 Specification Electrical Specification Section B_ Systems Description #U2013 Electrical Services_S5 - .pdf,spec,133,210x297,yes,1510223
